Date of Birth;Gender;Marital Status;Number of Dependents;Occupation;Income;Education Level;Customer Tenure;Customer Segment;Preferred Communication Channel;Credit Score;Credit History Length;Outstanding Loans;Churn Flag;Churn Reason;Churn Date;Balance;NumOfProducts;NumComplaints
1987/08/29;Male;Divorced;3;Information systems manager;77710.14;High School;30;Retail;Phone;397;24;41959.74;0;;;211359.05;1;0
2000/02/07;Female;Married;1;Charity fundraiser;58209.87;High School;27;SME;Email;665;10;8916.67;0;;;30624.76;4;1
1954/02/03;Female;Single;1;Television production assistant;9794.01;High School;14;Retail;Email;715;21;43270.54;0;;;111956.61;2;6
1991/01/15;Female;Divorced;5;Agricultural engineer;15088.98;High School;23;Corporate;Phone;747;17;17887.65;0;;;201187.61;1;0
1992/04/08;Female;Divorced;2;Teacher, early years/pre;60726.56;Master's;22;Corporate;Email;549;25;32686.84;0;;;60391.24;5;6
1987/11/28;Male;Single;0;Surveyor, building;55608.75;Bachelor's;15;Retail;Email;809;27;37218.81;1;Account Closure;2024/07/31;31206.81;2;10
1976/09/07;Female;Single;1;Publishing copy;22032.61;Diploma;15;Retail;Email;690;29;26200.0;0;;;198443.5;2;1
1993/08/05;Male;Divorced;4;Industrial buyer;73462.72;Diploma;3;Corporate;Email;605;30;25156.25;0;;;96378.05;4;6
2001/08/03;Male;Divorced;3;Medical sales representative;30054.43;Bachelor's;20;Corporate;Phone;634;16;41854.08;0;;;108395.17;5;1
1991/01/12;Female;Divorced;5;Media buyer;24129.53;Master's;21;SME;Phone;831;10;30914.02;0;;;99830.84;4;5
1974/07/17;Male;Married;5;Sales executive;58523.79;Bachelor's;26;Corporate;Email;759;18;26021.64;0;;;141823.51;5;5
1994/11/30;Male;Divorced;5;Engineer, biomedical;17009.77;High School;22;Corporate;Phone;332;14;35937.1;0;;;122931.63;5;9
1950/05/21;Female;Single;2;Development worker, international aid;83160.48;Diploma;12;SME;Email;688;9;41808.44;0;;;216944.39;2;8
1996/04/01;Female;Single;1;Health and safety adviser;35415.53;High School;22;SME;Email;750;12;35513.69;0;;;31446.19;2;0
1956/04/14;Female;Married;4;Scientist, research (maths);44108.56;Diploma;22;SME;Email;609;28;46330.11;0;;;126906.93;3;10
1956/07/05;Male;Single;2;Soil scientist;10051.24;Diploma;13;Corporate;Phone;678;3;15156.6;0;;;143624.95;2;10
1996/10/24;Male;Divorced;2;Animal nutritionist;19725.99;Master's;23;Retail;Email;399;22;31765.09;1;Relocation;2024/04/30;18249.32;4;10
1974/04/14;Male;Married;1;Secondary school teacher;19632.81;Master's;8;Corporate;Email;744;17;7803.87;0;;;72541.01;4;10
1976/10/26;Female;Married;1;Civil Service administrator;17002.05;Diploma;23;Retail;Email;516;30;37680.08;1;Account Closure;2024/05/05;47496.0;1;6
1982/09/09;Female;Single;0;Engineer, site;69930.91;High School;14;Retail;Email;790;8;29280.66;0;;;60845.11;1;6
1963/05/29;Male;Married;1;Engineer, biomedical;65032.92;Master's;26;Corporate;Email;414;12;2381.23;0;;;141183.72;2;3
1990/01/15;Male;Single;0;Engineer, civil (contracting);39981.11;Bachelor's;25;Retail;Phone;437;2;6761.18;1;Account Closure;2024/06/13;75231.59;2;9
1960/03/06;Male;Single;0;Psychotherapist, child;91831.65;Master's;18;SME;Phone;394;27;6976.75;0;;;235451.48;5;1
2004/05/30;Female;Divorced;0;Conference centre manager;78471.18;Master's;24;Corporate;Email;393;21;5417.06;0;;;83954.38;3;1
1984/05/18;Male;Married;0;Product/process development scientist;92292.74;High School;16;Retail;Phone;520;29;36332.9;0;;;169581.13;3;0
1965/03/21;Male;Married;4;Broadcast engineer;52775.33;High School;16;Retail;Phone;515;26;5663.8;0;;;233471.12;4;8
1963/09/07;Male;Married;1;Patent attorney;14710.59;High School;13;SME;Phone;559;28;39797.76;0;;;114903.09;2;0
1949/01/07;Male;Divorced;1;Insurance claims handler;46317.6;High School;26;Retail;Email;387;22;12373.92;0;;;224404.73;4;0
1979/07/31;Female;Single;4;Police officer;40613.05;Bachelor's;28;Retail;Phone;309;29;16896.93;0;;;88966.86;4;0
1970/03/20;Male;Divorced;2;Counselling psychologist;57344.57;High School;8;SME;Phone;829;5;37993.92;0;;;40478.17;4;6
1977/12/07;Male;Divorced;4;Insurance account manager;71236.42;High School;24;SME;Phone;683;15;23390.07;0;;;248242.41;5;4
1953/08/20;Female;Divorced;1;Theatre stage manager;88336.88;High School;3;SME;Phone;617;11;42389.15;0;;;87306.22;4;4
1965/09/30;Female;Married;1;Research scientist (life sciences);64467.74;Bachelor's;7;SME;Email;303;14;22006.17;0;;;160303.04;3;5
1992/01/19;Female;Married;3;Multimedia programmer;53756.54;High School;9;Corporate;Email;668;8;36169.98;0;;;87776.33;4;7
1971/02/14;Female;Married;3;Designer, interior/spatial;80229.05;Diploma;12;Retail;Phone;800;15;46050.22;0;;;177098.69;3;9
1975/02/19;Male;Single;2;Risk analyst;98732.96;High School;26;Retail;Phone;682;22;29249.65;0;;;196614.71;5;2
1996/05/30;Male;Single;5;Podiatrist;50627.29;Bachelor's;8;Corporate;Phone;459;6;6271.79;1;Account Closure;2024/03/06;40373.67;3;10
1961/09/03;Female;Divorced;2;Physicist, medical;83123.02;Master's;25;SME;Phone;795;24;25245.19;0;;;76710.95;1;3
1957/07/03;Female;Divorced;0;Customer service manager;21518.49;Master's;23;SME;Phone;364;2;5232.36;0;;;127097.74;1;4
1982/10/14;Male;Single;0;Counselling psychologist;87512.21;Bachelor's;26;SME;Email;829;7;31164.72;0;;;27852.11;5;7
2006/03/01;Male;Divorced;5;Housing manager/officer;85636.57;High School;16;SME;Phone;415;29;48322.31;0;;;63093.16;1;2
1965/11/17;Male;Single;3;Armed forces operational officer;23790.18;Diploma;28;Corporate;Email;447;11;40597.98;0;;;64127.57;5;1
2001/12/14;Male;Single;0;Press photographer;98489.19;Bachelor's;27;SME;Phone;592;27;28528.36;0;;;225678.58;3;2
1967/10/11;Male;Single;3;Estate manager/land agent;64933.28;Bachelor's;30;Corporate;Email;408;18;33691.3;0;;;57845.5;3;3
1971/01/24;Male;Married;3;Presenter, broadcasting;72063.83;Diploma;21;SME;Email;453;14;36268.21;0;;;97674.07;5;9
1978/01/30;Male;Divorced;2;Restaurant manager;23819.57;Diploma;27;Corporate;Email;850;12;13055.58;0;;;42643.8;3;7
1952/03/07;Male;Married;4;Photographer;43893.01;Master's;16;SME;Email;343;23;10827.3;0;;;193263.84;5;10
1956/01/26;Male;Single;1;Teacher, primary school;50043.77;Diploma;19;Retail;Phone;644;26;25673.56;0;;;134404.42;2;10
1959/08/21;Female;Single;3;Psychotherapist, dance movement;60947.5;Diploma;30;SME;Phone;356;5;18190.69;0;;;118613.65;5;10
1983/07/28;Female;Single;0;Water quality scientist;11078.92;Bachelor's;5;Corporate;Phone;709;5;17685.73;0;;;157076.39;2;2
1976/09/02;Male;Single;4;Surveyor, hydrographic;51228.37;High School;23;Retail;Phone;685;7;33052.23;0;;;159548.17;2;2
1972/07/10;Male;Single;2;Engineer, site;98913.01;Master's;6;Corporate;Email;636;1;24591.59;0;;;230194.29;2;9
1998/01/10;Female;Single;2;Clinical molecular geneticist;24826.95;High School;9;Retail;Email;392;9;38011.57;0;;;198522.51;4;3
1999/10/17;Female;Divorced;4;Actuary;6844.88;Bachelor's;1;Corporate;Email;500;16;47417.41;0;;;161596.55;2;3
1997/04/22;Male;Married;2;Historic buildings inspector/conservation officer;67006.08;Master's;11;Retail;Phone;787;23;19861.37;0;;;214137.16;2;3
1950/09/26;Female;Married;2;Chartered loss adjuster;62967.38;Diploma;17;Corporate;Email;511;8;10463.7;0;;;219450.98;4;5
